,SKU_A,SKU_B,SKU_C
2022-01-03,58.0,22.0,47.0
2022-01-10,54.0,23.0,42.0
2022-01-17,59.0,27.0,35.0
2022-01-24,63.0,22.0,43.0
2022-01-31,54.0,23.0,36.0
2022-02-07,54.0,22.0,128.0
2022-02-14,64.0,17.0,45.0
2022-02-21,59.0,22.0,37.0
2022-02-28,52.0,22.0,44.0
2022-03-07,58.0,28.0,42.0
2022-03-14,52.0,22.0,43.0
2022-03-21,52.0,23.0,48.0
2022-03-28,56.0,22.0,39.0
2022-04-04,44.0,19.0,94.0
2022-04-11,46.0,25.0,36.0
2022-04-18,52.0,24.0,37.0
2022-04-25,49.0,24.0,40.0
2022-05-02,57.0,20.0,41.0
2022-05-09,50.0,26.0,41.0
2022-05-16,47.0,18.0,43.0
2022-05-23,63.0,23.0,40.0
2022-05-30,54.0,27.0,46.0
2022-06-06,55.0,20.0,39.0
2022-06-13,47.0,21.0,51.0
2022-06-20,52.0,22.0,43.0
2022-06-27,56.0,21.0,37.0
2022-07-04,49.0,66.0,36.0
2022-07-11,57.0,72.0,93.0
2022-07-18,52.0,68.0,39.0
2022-07-25,53.0,74.0,43.0
2022-08-01,52.0,68.0,42.0
2022-08-08,65.0,78.0,40.0
2022-08-15,55.0,69.0,37.0
2022-08-22,49.0,71.0,34.0
2022-08-29,60.0,75.0,38.0
2022-09-05,48.0,67.0,43.0
2022-09-12,56.0,73.0,112.0
2022-09-19,44.0,77.0,35.0
2022-09-26,48.0,66.0,41.0
2022-10-03,56.0,73.0,42.0
2022-10-10,59.0,73.0,36.0
2022-10-17,56.0,75.0,41.0
2022-10-24,54.0,67.0,40.0
2022-10-31,53.0,67.0,35.0
2022-11-07,47.0,74.0,41.0
2022-11-14,51.0,73.0,42.0
2022-11-21,52.0,73.0,44.0
2022-11-28,61.0,73.0,44.0
2022-12-05,57.0,69.0,34.0
2022-12-12,45.0,73.0,36.0
2022-12-19,57.0,73.0,42.0
2022-12-26,53.0,69.0,42.0
2023-01-02,51.0,22.0,42.0
2023-01-09,58.0,23.0,55.0
2023-01-16,61.0,27.0,42.0
2023-01-23,60.0,22.0,45.0
2023-01-30,50.0,23.0,99.0
2023-02-06,53.0,22.0,43.0
2023-02-13,57.0,17.0,39.0
2023-02-20,60.0,22.0,95.0
2023-02-27,52.0,22.0,37.0
2023-03-06,54.0,28.0,39.0
2023-03-13,49.0,22.0,38.0
2023-03-20,48.0,23.0,40.0
2023-03-27,59.0,22.0,49.0
2023-04-03,62.0,19.0,33.0
2023-04-10,55.0,25.0,43.0
2023-04-17,61.0,24.0,34.0
2023-04-24,57.0,24.0,38.0
2023-05-01,51.0,20.0,44.0
2023-05-08,57.0,26.0,40.0
2023-05-15,63.0,18.0,36.0
2023-05-22,55.0,23.0,37.0
2023-05-29,64.0,27.0,43.0
2023-06-05,41.0,20.0,37.0
2023-06-12,60.0,21.0,41.0
2023-06-19,55.0,22.0,40.0
2023-06-26,53.0,21.0,37.0
2023-07-03,56.0,66.0,49.0
2023-07-10,44.0,72.0,43.0
2023-07-17,54.0,68.0,32.0
2023-07-24,57.0,74.0,41.0
2023-07-31,63.0,68.0,37.0
2023-08-07,52.0,78.0,43.0
2023-08-14,51.0,69.0,37.0
2023-08-21,52.0,71.0,40.0
2023-08-28,60.0,75.0,42.0
2023-09-04,57.0,67.0,114.0
2023-09-11,52.0,73.0,121.0
2023-09-18,58.0,77.0,39.0
2023-09-25,56.0,66.0,38.0
2023-10-02,60.0,73.0,37.0
2023-10-09,51.0,73.0,47.0
2023-10-16,53.0,75.0,42.0
2023-10-23,53.0,67.0,35.0
2023-10-30,47.0,67.0,44.0
2023-11-06,57.0,74.0,48.0
2023-11-13,56.0,73.0,44.0
2023-11-20,55.0,73.0,34.0
2023-11-27,54.0,73.0,38.0
2023-12-04,47.0,69.0,45.0
2023-12-11,53.0,73.0,37.0
2023-12-18,53.0,73.0,42.0
2023-12-25,51.0,69.0,43.0
