,SKU_A,SKU_B,SKU_C
2022-03-28,52.6,21.95,39.65
2022-04-04,51.0,21.95,39.65
2022-04-11,51.0,21.95,39.65
2022-04-18,51.0,21.95,40.6
2022-04-25,51.0,21.95,40.6
2022-05-02,51.0,21.95,40.6
2022-05-09,51.0,21.95,38.9
2022-05-16,52.25,21.5,38.9
2022-05-23,52.55,21.5,38.9
2022-05-30,52.55,18.5,38.9
2022-06-06,52.55,20.25,38.9
2022-06-13,46.849999999999994,20.25,38.9
2022-06-20,46.849999999999994,20.25,38.9
2022-06-27,46.849999999999994,20.25,38.9
2022-07-04,46.85,20.4,36.75
2022-07-11,49.400000000000006,20.7,38.85
2022-07-18,49.400000000000006,20.7,38.85
2022-07-25,52.599999999999994,20.8,38.85
2022-08-01,52.599999999999994,20.8,38.85
2022-08-08,51.5,21.0,38.85
2022-08-15,51.5,22.9,38.85
2022-08-22,51.5,69.3,36.95
2022-08-29,51.5,69.3,36.95
2022-09-05,51.5,69.45,36.95
2022-09-12,52.25,69.45,37.9
2022-09-19,55.55,69.45,37.9
2022-09-26,47.150000000000006,66.6,37.9
2022-10-03,55.55,66.6,37.9
2022-10-10,55.55,72.6,37.9
2022-10-17,55.55,72.6,37.9
2022-10-24,55.55,66.6,37.9
2022-10-31,55.55,66.6,37.9
2022-11-07,56.0,66.55,37.9
2022-11-14,56.0,66.55,37.9
2022-11-21,56.0,73.15,38.85
2022-11-28,56.75,73.15,38.85
2022-12-05,56.75,73.15,37.9
2022-12-12,56.75,73.15,34.5
2022-12-19,47.400000000000006,72.75,40.5
2022-12-26,52.2,73.0,41.5
2023-01-02,52.2,72.35,41.5
2023-01-09,52.2,72.35,41.349999999999994
2023-01-16,52.2,71.4,41.349999999999994
2023-01-23,52.2,71.4,41.349999999999994
2023-01-30,50.599999999999994,71.4,43.75
2023-02-06,50.599999999999994,70.45,43.75
2023-02-13,52.2,70.2,43.75
2023-02-20,60.2,19.8,43.75
2023-02-27,52.2,19.8,43.75
2023-03-06,52.2,19.8,39.15
2023-03-13,60.4,19.8,40.1
2023-03-20,52.55,19.6,40.1
2023-03-27,60.35,21.95,40.1
2023-04-03,48.7,21.95,36.3
2023-04-10,48.7,21.95,36.3
2023-04-17,48.7,21.95,36.3
2023-04-24,48.7,21.95,36.3
2023-05-01,48.7,21.95,36.1
2023-05-08,57.099999999999994,21.95,36.1
2023-05-15,48.75,21.5,36.1
2023-05-22,48.75,21.5,38.599999999999994
2023-05-29,48.8,18.5,38.599999999999994
2023-06-05,55.949999999999996,20.25,43.400000000000006
2023-06-12,55.949999999999996,20.25,40.2
2023-06-19,55.949999999999996,20.25,40.2
2023-06-26,55.949999999999996,20.25,36.849999999999994
2023-07-03,55.949999999999996,20.4,36.25
2023-07-10,55.949999999999996,20.7,36.25
2023-07-17,55.949999999999996,20.7,36.25
2023-07-24,55.949999999999996,20.8,36.25
2023-07-31,55.949999999999996,20.8,36.25
2023-08-07,55.949999999999996,21.0,36.25
2023-08-14,55.949999999999996,22.9,36.25
2023-08-21,51.35,69.3,36.25
2023-08-28,50.9,69.3,36.25
2023-09-04,52.55,69.45,36.1
2023-09-11,52.55,69.45,36.45
2023-09-18,52.55,69.45,36.45
2023-09-25,56.349999999999994,66.6,36.45
2023-10-02,52.55,66.6,36.45
2023-10-09,51.6,72.6,36.45
2023-10-16,51.6,72.6,41.2
2023-10-23,51.6,66.6,39.3
2023-10-30,51.55,66.6,39.3
2023-11-06,51.55,66.55,39.3
2023-11-13,51.55,66.55,39.3
2023-11-20,55.45,73.15,38.35
2023-11-27,55.45,73.15,38.35
2023-12-04,55.45,73.15,38.35
2023-12-11,52.85,73.15,37.5
2023-12-18,52.85,72.75,37.5
2023-12-25,52.85,73.0,37.5
