,demand,forecast,epsilon,sigma_garch,ss_garch,ss_classic,rop_garch,rop_classic,stockout_garch,stockout_classic,excess_garch,excess_classic
2019-02-04,404,356.0,48.0,254.26249268784355,591.5115108493884,591.5115108493884,947.5115108493884,947.5115108493884,False,False,,
2019-02-11,348,363.0,-15.0,233.97453671413376,544.3139892519425,591.5115108493884,907.3139892519425,954.5115108493884,False,False,599.5115108493884,599.5115108493884
2019-02-18,516,345.75,170.25,215.79781087992507,502.02799399235954,591.5115108493884,847.7779939923596,937.2615108493884,False,False,391.31398925194253,438.5115108493884
2019-02-25,331,406.0,-75.0,211.70197386167987,492.49951530388284,591.5115108493884,898.4995153038828,997.5115108493884,False,False,516.7779939923596,606.2615108493884
2019-03-04,392,399.75,-7.75,199.00471162424355,462.960841745225,591.5115108493884,862.710841745225,991.2615108493884,False,False,506.49951530388284,605.5115108493884
2019-03-11,428,396.75,31.25,185.91893965380874,432.51834640492604,591.5115108493884,829.268346404926,988.2615108493884,False,False,434.710841745225,563.2615108493884
2019-03-18,502,416.75,85.25,175.3058094791435,407.82815872488675,591.5115108493884,824.5781587248867,1008.2615108493884,False,False,327.268346404926,486.2615108493884
2019-03-25,335,413.25,-78.25,169.50310007810342,394.32884402634386,591.5115108493884,807.5788440263439,1004.7615108493884,False,False,489.57815872488675,673.2615108493884
2019-04-01,813,414.25,398.75,164.19842395573625,381.98814463911526,591.5115108493884,796.2381446391153,1005.7615108493884,True,False,0.0,191.7615108493884
2019-04-08,681,519.5,161.5,225.0017892164712,523.4399571731002,591.5115108493884,1042.9399571731,1111.0115108493883,False,False,115.23814463911526,324.7615108493884
2019-04-15,560,582.75,-22.75,218.06131482773833,507.2937672718984,591.5115108493884,1090.0437672718983,1174.2615108493883,False,False,482.9399571731001,551.0115108493883
2019-04-22,742,597.25,144.75,202.30459530402658,470.6376294633886,591.5115108493884,1067.8876294633885,1188.7615108493883,False,False,348.04376727189833,432.2615108493883
2019-04-29,706,699.0,7.0,197.5820059796826,459.6510859239393,591.5115108493884,1158.6510859239393,1290.5115108493883,False,False,361.8876294633885,482.7615108493883
2019-05-06,381,672.25,-291.25,184.709958719239,429.7057957544713,591.5115108493884,1101.9557957544712,1263.7615108493883,False,False,777.6510859239393,909.5115108493883
2019-05-13,424,597.25,-173.25,210.05981047947282,488.67921710337964,591.5115108493884,1085.9292171033796,1188.7615108493883,False,False,677.9557957544712,839.7615108493883
2019-05-20,398,563.25,-165.25,207.49447757398343,482.711274577855,591.5115108493884,1045.961274577855,1154.7615108493883,False,False,687.9292171033796,790.7615108493883
2019-05-27,426,477.25,-51.25,204.35935616568838,475.4177867286913,591.5115108493884,952.6677867286912,1068.7615108493883,False,False,619.961274577855,728.7615108493883
2019-06-03,454,407.25,46.75,191.5593023193652,445.6399806922835,591.5115108493884,852.8899806922834,998.7615108493884,False,False,498.6677867286912,614.7615108493883
2019-06-10,498,425.5,72.5,180.59443158553415,420.13151034939546,591.5115108493884,845.6315103493955,1017.0115108493884,False,False,354.8899806922834,500.7615108493884
2019-06-17,355,444.0,-89.0,172.8880209802919,402.20346074937464,591.5115108493884,846.2034607493747,1035.5115108493883,False,False,490.6315103493955,662.0115108493884
2019-06-24,534,433.25,100.75,167.84687307944333,390.47582849137183,591.5115108493884,823.7258284913719,1024.7615108493883,False,False,312.2034607493747,501.5115108493883
2019-07-01,299,460.25,-161.25,164.86212295293058,383.53216158172273,591.5115108493884,843.7821615817227,1051.7615108493883,False,False,524.7258284913719,725.7615108493883
2019-07-08,660,421.5,238.5,170.2729628367427,396.11983835938713,591.5115108493884,817.6198383593871,1013.0115108493884,False,False,183.78216158172268,391.7615108493883
2019-07-15,751,462.0,289.0,188.38817785389278,438.2627360037958,591.5115108493884,900.2627360037958,1053.5115108493883,False,False,66.61983835938713,262.0115108493884
2019-07-22,714,561.0,153.0,212.12381094510908,493.4808692106813,591.5115108493884,1054.4808692106812,1152.5115108493883,False,False,186.2627360037958,339.5115108493883
2019-07-29,610,606.0,4.0,206.54300411436415,480.49778450433695,591.5115108493884,1086.497784504337,1197.5115108493883,False,False,444.48086921068125,542.5115108493883
2019-08-05,656,683.75,-27.75,192.2931171520877,447.347113804206,591.5115108493884,1131.097113804206,1275.2615108493883,False,False,430.497784504337,541.5115108493883
