,RV_d,RV_w,RV_m,RV_next,logRV_d,logRV_w,logRV_m,logRV_next
2016-02-02,7.592629797290391e-05,8.964024256001525e-05,9.057007249179055e-05,8.633846798113171e-05,-9.485746134651375,-9.319705087530425,-9.3093856210657,-9.35723415378487
2016-02-03,8.633846798113171e-05,8.701555085438896e-05,8.954168488109769e-05,3.647314798065049e-05,-9.35723415378487,-9.3494225606108,-9.320805171453575,-10.218931498138799
2016-02-04,3.647314798065049e-05,8.351390394911247e-05,8.759399685169003e-05,4.747925226133693e-05,-10.218931498138799,-9.390496228204125,-9.342796949830355,-9.955215630663444
2016-02-05,4.747925226133693e-05,8.461957843682429e-05,8.441093012506657e-05,7.430809073604797e-05,-9.955215630663444,-9.377343712764372,-9.379812476215763,-9.507289373607815
2016-02-08,7.430809073604797e-05,6.41050513864142e-05,7.951452375481839e-05,3.620158589169766e-05,-9.507289373607815,-9.654985832424076,-9.439569606618601,-10.226404868623113
2016-02-09,3.620158589169766e-05,5.6160108970172943e-05,7.772328025234077e-05,6.9334751643602e-05,-10.226404868623113,-9.787302077274779,-9.462354441704717,-9.576562868465041
2016-02-10,6.9334751643602e-05,5.275936570266701e-05,7.743806152641237e-05,4.639028189988079e-05,-9.576562868465041,-9.849767357106032,-9.46603085589744,-9.97841840685941
2016-02-11,4.639028189988079e-05,5.474279248651307e-05,7.103693818740262e-05,4.8029062268719766e-05,-9.97841840685941,-9.812863015292633,-9.552309152331334,-9.94370218427351
2016-02-12,4.8029062268719766e-05,5.485275448798963e-05,6.754930025486092e-05,3.978778299088595e-05,-9.94370218427351,-9.810856330883581,-9.602651372133959,-10.131948139492597
2016-02-15,3.978778299088595e-05,4.7948692938957234e-05,6.6302554718834e-05,0.00015706857737440212,-10.131948139492597,-9.945376930278954,-9.621280620566022,-8.758827412757238
2016-02-16,0.00015706857737440212,7.212209123549812e-05,6.837432659364172e-05,0.00010196525146202861,-8.758827412757238,-9.537148776903,-9.590511683456317,-9.190877493936986
2016-02-17,0.00010196525146202861,7.864819119918344e-05,6.994456315042615e-05,4.490728669363319e-05,-9.190877493936986,-9.450524655343395,-9.567806154968183,-10.010908262412249
2016-02-18,4.490728669363319e-05,7.835159215793393e-05,6.892479651727415e-05,0.00010366550508225823,-10.010908262412249,-9.454302991974483,-9.582493102437127,-9.17434017486965
2016-02-19,0.00010366550508225823,8.947888072064163e-05,6.92763509362337e-05,4.2513686600805465e-05,-9.17434017486965,-9.321506812548915,-9.57740552284801,-10.065682144029973
2016-02-22,4.2513686600805465e-05,9.002406144262553e-05,6.972445353434215e-05,7.489849330519143e-05,-10.065682144029973,-9.315432463189458,-9.57095802770762,-9.499375448589543
2016-02-23,7.489849330519143e-05,7.35900446287834e-05,7.14980013465824e-05,2.268586452429751e-05,-9.499375448589543,-9.516999445695678,-9.545839663210145,-10.693764127599364
2016-02-24,2.268586452429751e-05,5.773416724123716e-05,6.961244142776755e-05,2.20981827679949e-05,-10.693764127599364,-9.759659674400982,-9.572565813929002,-10.720010655265247
2016-02-25,2.20981827679949e-05,5.3172346456109514e-05,6.828847655748368e-05,5.3063137980239766e-05,-10.720010655265247,-9.841970219542853,-9.591768059292809,-9.844026186234608
2016-02-26,5.3063137980239766e-05,4.305187303570581e-05,6.617944071525534e-05,8.583115918141153e-05,-9.844026186234608,-10.053102496881618,-9.623139195427568,-9.363127291697328
