date,rv_actual,pred_log_har,pred_garch
2022-02-24,6.765588203556109e+50,2.7486428479412283e+51,6.181917323389776e+50
2022-02-25,3.388907967150858e+50,2.7447053326194444e+51,1.0191095333331791e+50
2022-02-28,1.5140150662371725e+51,2.5869251634436678e+51,1.3282754874206927e+50
2022-03-01,1.363553462556659e+52,9.984022993774934e+50,2.7074101772905273e+50
2022-03-02,1.0550038277017001e+52,3.467598126964769e+51,5.9317338686680524e+50
2022-03-03,4.142058847324413e+51,5.476262707706324e+51,4.8888327968346786e+50
2022-03-04,2.532252054468535e+51,6.020305272451773e+51,1.9810389151115247e+50
2022-03-07,3.3390710719330223e+50,6.36502003015898e+51,6.958823907981626e+49
2022-03-08,9.773145682204301e+51,5.786643362370821e+51,1.8226480881504527e+50
2022-03-09,5.299962993569889e+51,5.523184243528519e+51,4.870003682665544e+49
2022-03-10,3.0812440466391154e+51,4.3506283008769645e+51,5.623149400669057e+48
2022-03-11,3.8277372182335985e+53,4.066995357622794e+51,1.3219591964945095e+50
2022-03-14,2.6658873011135806e+53,8.675738393038243e+52,4.3560649466685745e+50
2022-03-15,4.725763051374727e+52,1.411792410926336e+53,2.82952658430548e+49
2022-03-16,3.5621474509769385e+52,1.4170157211072041e+53,2.0793256889323527e+49
2022-03-17,3.661487739924607e+53,1.464268418137912e+53,2.101074741166197e+50
2022-03-18,2.525155360134006e+53,2.3140669547580723e+53,3.620231377780914e+51
2022-03-21,1.9157588257027568e+52,1.994052327321654e+53,1.8803038903052392e+51
2022-03-22,2.5682202266126286e+53,1.3705718703392046e+53,4.409433976136976e+50
2022-03-23,6.157693083436662e+52,1.8988692143818489e+53,4.615456243074749e+50
2022-03-24,1.6208208598319616e+54,1.8728048335610766e+53,5.04766571857233e+51
2022-03-25,3.8708209391521784e+54,4.680896833765854e+53,1.2377924053837154e+51
2022-03-28,9.47916549984437e+53,1.2432131120687108e+54,3.711180154149418e+50
2022-03-29,5.7246757364391595e+54,1.3809120846161868e+54,3.5663422526776775e+50
2022-03-30,3.311149834028614e+54,2.5931040276915626e+54,1.8716692241735523e+50
2022-03-31,8.357974886207471e+54,3.213948448582633e+54,7.673192478875752e+50
2022-04-01,9.684857955912916e+54,4.6799902246369216e+54,6.853445679520284e+51
2022-04-04,1.5782521223716835e+54,5.865494934889435e+54,5.576808049401876e+51
2022-04-05,1.0174385069570228e+54,5.687507249104684e+54,2.3169984730627947e+51
2022-04-06,1.0273748043236865e+55,4.670840581208497e+54,1.3695627599059247e+51
2022-04-07,3.714215372659867e+54,6.395313338013903e+54,2.289644900720677e+50
2022-04-08,1.893086297989416e+54,5.2433259332692934e+54,4.89871211788418e+51
2022-04-11,5.598928215613156e+53,3.585679954830088e+54,2.8663013958838686e+51
2022-04-12,3.392512545376304e+54,3.267654219285605e+54,1.6680765448657378e+51
2022-04-13,6.657337245596535e+55,3.906536879828632e+54,1.9146192410177612e+53
2022-04-14,6.136888816216387e+54,1.6157294539656224e+55,1.4166799788908683e+53
2022-04-15,8.586843216412561e+54,1.5556514638725503e+55,2.9825252307546634e+52
2022-04-18,8.04619194568445e+55,1.7019161433670218e+55,1.911694827739684e+52
2022-04-19,3.7149098564697303e+55,3.482579488063223e+55,1.839123868101083e+53
2022-04-20,5.564537991628187e+55,4.0881321891021027e+55,1.3430130393867458e+53
2022-04-21,7.106897877052765e+54,3.865922958363733e+55,1.5453128942600174e+52
2022-04-22,3.259195199430959e+55,3.6623566367082423e+55,1.2908881385517838e+53
2022-04-25,2.1402314231244564e+55,4.299726118106707e+55,3.643488867075405e+52
2022-04-26,9.147487771089386e+55,3.0416354770216265e+55,8.120056414955874e+53
2022-04-27,3.0224367522045645e+56,4.270547289483061e+55,1.970916832589109e+54
2022-04-28,7.135165486376528e+57,9.567454137371873e+55,5.601370141307025e+53
2022-04-29,7.571570611159813e+57,1.6493361459026695e+57,2.8868314962464135e+54
2022-05-02,6.297994949447367e+57,3.2340275017124834e+57,1.7818012220856717e+54
2022-05-03,5.1287709276083056e+57,4.5095479278994625e+57,4.256897267919644e+54
2022-05-04,2.2092600979023504e+57,5.505939351557637e+57,5.028560208126824e+54
2022-05-05,4.6667144379186126e+57,5.750077492251311e+57,1.0089975771078388e+54
2022-05-06,2.321962752090821e+57,5.3126620347200694e+57,5.528389162264387e+53
2022-05-09,3.163497419464703e+57,4.118991532498799e+57,5.161048546710679e+54
2022-05-10,1.8850049758108744e+58,3.497265211331911e+57,2.0827721387396907e+54
2022-05-11,2.0830807471732173e+57,6.517553863802426e+57,1.0376126633612254e+54
2022-05-12,1.7895461736670477e+58,6.0876364547187396e+57,3.253172430958803e+53
2022-05-13,7.255092806485346e+58,9.173849346365572e+57,1.7104826120296945e+54
2022-05-16,2.950490897873178e+58,2.4367024857888914e+58,3.3361477709079687e+55
2022-05-17,8.77923988970743e+56,2.908675371702732e+58,4.527147909926666e+54
2022-05-18,3.820743875034178e+57,2.2901554898709324e+58,4.491369310842501e+54
2022-05-19,7.5141067709317e+58,2.4195869185531606e+58,4.042734304317097e+55
2022-05-20,3.992012469310838e+58,3.8077316984585964e+58,2.0342201553160468e+55
2022-05-23,5.96878897245952e+57,3.0353138780290854e+58,2.871213702053238e+55
2022-05-24,6.006765209500179e+57,2.4117960976210715e+58,4.808864093562048e+54
2022-05-25,4.6540935678171205e+58,2.5103381686308022e+58,1.6506241493015818e+55
2022-05-26,7.088144970576475e+58,3.525341357095184e+58,1.142288018633625e+55
2022-05-27,2.8422510009225786e+58,3.447673492570989e+58,4.6236896408239154e+55
2022-05-30,1.4163738753690786e+58,3.1171832305150655e+58,1.5314350751025795e+56
2022-05-31,1.1024641742435372e+58,3.215981152435584e+58,3.574278810962517e+57
2022-06-01,4.7666349261937055e+57,3.290601405078798e+58,3.942067516110328e+57
2022-06-02,1.5993630937135398e+59,2.4148220908432688e+58,3.321360924045459e+57
2022-06-03,4.839488836457341e+58,4.491043396661436e+58,2.7096090613940727e+57
2022-06-06,2.412949451560686e+59,4.730721063623543e+58,1.2231053325046463e+57
2022-06-07,1.2366419532395808e+60,9.660931793618616e+58,2.3868364297842745e+57
2022-06-08,2.5945818067770643e+60,3.6204829349236497e+59,1.265343709169518e+57
2022-06-09,6.616363175429393e+59,9.178377012108606e+59,1.6370747565579904e+57
2022-06-10,1.072797966484336e+60,9.826086886162272e+59,9.49660454013065e+57
2022-06-13,7.8091738487760205e+59,1.2036564553908789e+60,1.4567710861180822e+57
2022-06-14,1.9123746631338695e+59,1.2990059609235028e+60,9.011426909445165e+57
2022-06-15,7.516431065311928e+59,1.037928905695554e+60,3.6669480778280944e+58
2022-06-16,9.655903946049604e+58,6.9443430423180515e+59,1.6355795400273323e+58
2022-06-17,1.7266622374285516e+60,5.458183541529681e+59,1.154104815772596e+57
2022-06-20,4.733766281898915e+59,7.2238385704483475e+59,1.960834161222105e+57
2022-06-21,6.384478937903715e+59,6.3358399813167165e+59,3.7656269611951105e+58
2022-06-22,8.657596345097685e+59,7.271219954819987e+59,2.1606549734362036e+58
2022-06-23,4.513873861219733e+59,7.537866521722585e+59,3.9291219388538346e+57
2022-06-24,1.297170139849999e+60,8.091195469085176e+59,3.175180020052223e+57
2022-06-27,4.108806396448549e+59,7.422567513082239e+59,2.3409299804765822e+58
2022-06-28,1.882247710265222e+60,7.05316658580645e+59,3.6464275972349734e+58
2022-06-29,1.5231185190722345e+59,9.862698847167842e+59,1.580562351522873e+58
2022-06-30,5.021619564399943e+59,7.820593040704709e+59,7.772956414646454e+57
2022-07-01,1.9296606890827073e+60,8.177014263366613e+59,5.8521865801201296e+57
2022-07-04,6.520052958239351e+59,9.735234365581735e+59,2.6391991944058747e+57
2022-07-05,4.893699370726584e+59,9.90434178308599e+59,8.008355135950577e+58
2022-07-06,8.106924773068075e+59,7.095552064091822e+59,2.769902727994316e+58
2022-07-07,8.460975744908237e+59,8.486188036763984e+59,1.2185858827170582e+59
2022-07-08,9.743592370756807e+59,9.186456879424819e+59,6.236491365935168e+59
2022-07-11,1.0238696225195806e+60,7.356706173385304e+59,1.3245594153030949e+60
2022-07-12,1.1820585722941158e+60,8.100992768658e+59,3.887333583234718e+59
2022-07-13,1.7687486007650307e+60,9.521252434564204e+59,5.533960086392233e+59
2022-07-14,1.5259602622645635e+60,1.1551394677272682e+60,4.146554479055456e+59
2022-07-15,1.001612343095209e+60,1.2839888329444083e+60,1.1374917920181522e+59
2022-07-18,1.4488325735579924e+60,1.2734647540175143e+60,3.807951364350753e+59
2022-07-19,3.665055574388794e+60,1.3685117369018302e+60,6.492945333253274e+58
2022-07-20,1.9953260430859297e+60,1.9128376509355977e+60,8.661701021572162e+59
2022-07-21,8.758049099352095e+59,1.9206148148379977e+60,2.745608426760134e+59
2022-07-22,2.1776687477576975e+60,1.7464268135930246e+60,3.3122887910982932e+59
2022-07-25,1.5686386960327335e+60,2.0268369278075133e+60,4.473625096970016e+59
2022-07-26,4.01666451751198e+59,2.0282429818210955e+60,2.4525422671747376e+59
2022-07-27,1.4010272446227306e+60,1.3236960770102703e+60,6.593085960420675e+59
2022-07-28,8.60632403254655e+59,1.2507673215952943e+60,2.342680103483408e+59
2022-07-29,9.239694402262138e+59,1.2328695786703343e+60,9.513670185675937e+59
2022-08-01,1.136785276961451e+60,9.878866840152916e+59,1.1775361503554815e+59
2022-08-02,1.1106102949506984e+60,9.078229861990619e+59,2.562296518366963e+59
