,RV_d,RV_w,RV_m,RV_next,logRV_d,logRV_w,logRV_m,logRV_next,pred_rv,sigma_dyn,ss_dyn,ss_cls
2015-04-06,2.7326414995275806e-06,6.912682830839326e-06,4.157819338108511e-06,7.632663464040987e-07,-12.810241834328835,-11.882152742157919,-12.390519818700751,-14.085658788719492,1.9411007407527265e-06,0.5851582441261346,1.9251706231749828,3.3160418681987163
2015-04-13,7.632663464040987e-07,4.603473095351914e-06,4.204301658053334e-06,9.19662078554505e-08,-14.085658788719492,-12.288699518625311,-12.379402352515907,-16.201844633289728,9.250412366571737e-07,0.40395206911999526,1.3290023074047843,3.3160418681987163
2015-04-20,9.19662078554505e-08,2.411617234330909e-06,4.189583436000548e-06,3.349900152484257e-09,-16.201844633289728,-12.935212983926563,-12.382909247588207,-19.5143352967822,2.6861319477000876e-07,0.21767720954989647,0.7161580194191594,3.3160418681987163
2015-04-27,3.349900152484257e-09,8.978059884849035e-07,4.1493656532132425e-06,4.4171999917723845e-08,-19.5143352967822,-13.923311840443834,-12.392555090052541,-16.93517473462416,3.8694702670434586e-08,0.08261807036638329,0.27181345150540104,3.3160418681987163
2015-05-04,4.4171999917723845e-08,2.2568861358243934e-07,4.07920648078145e-06,2.016960375454045e-08,-16.93517473462416,-15.304109603742278,-12.409608078468384,-17.719089130461292,1.8779559577572025e-07,0.18200863467109754,0.5988084080679109,3.3160418681987163
2015-05-11,2.016960375454045e-08,3.9914427920049765e-08,3.952871831718206e-06,2.5860759595831002e-08,-17.719089130461292,-17.036527976406582,-12.441068197216547,-17.47053909064542,1.2435514027214097e-07,0.14810890163661897,0.4872782863844764,3.3160418681987163
2015-05-18,2.5860759595831002e-08,2.3388065855144887e-08,3.743042406261191e-06,4.88656457133014e-07,-17.47053909064542,-17.57103995087054,-12.495611799621472,-14.531606136019846,1.4487618274073453e-07,0.1598629370287734,0.5259490628246646,3.3160418681987163
2015-05-25,4.88656457133014e-07,1.4471470510027732e-07,3.445507554138855e-06,2.1659370818334364e-06,-14.531606136019846,-15.748501583729658,-12.57843933368635,-13.042657457899052,7.62594695763068e-07,0.36677200592821313,1.2066798995038213,3.3160418681987163
2015-06-01,2.1659370818334364e-06,6.751559755792054e-07,3.1033379804276624e-06,5.6616520806473485e-06,-13.042657457899052,-14.208322097835426,-12.683032257892007,-12.08179482129975,1.7017176829556828e-06,0.5478895867539211,1.8025567404204004,3.3160418681987163
2015-06-08,5.6616520806473485e-06,2.0855265948024073e-06,2.8396739815885567e-06,9.19041810073647e-06,-12.08179482129975,-13.080489171147898,-12.771821307595932,-11.597349127448041,2.8268854956592034e-06,0.7061604643664806,2.323267927765721,3.3160418681987163
