u,e_u,n_u
1.1053675307678545,3.8855097811948367,200
1.5458740292687394,4.916629572306004,143
1.9863805277696245,6.124500144975306,106
2.426887026270509,7.068007469987711,86
2.867393524771394,7.233632500081556,79
3.3079000232722793,7.166687792166351,75
3.7484065217731644,7.80023275923497,65
4.188913020274049,8.27530858538763,58
4.6294195187749345,7.975995703715318,57
5.06992601727582,7.967557059120071,54
5.510432515776705,8.316852957660645,49
5.95093901427759,8.591830538070411,45
6.391445512778474,8.754198965933455,42
6.831952011279359,8.967944986168924,39
7.272458509780244,9.256343401109998,36
7.712965008281129,9.077709776197992,35
8.153471506782013,10.477932744542402,29
8.5939780052829,10.396861293601754,28
9.034484503783784,10.739891240257984,26
9.474991002284668,10.2993847417571,26
9.915497500785554,10.695975329280166,24
10.356003999286438,11.213583367004464,22
10.796510497787324,10.773076868503578,22
11.237016996288208,11.381705517086488,20
11.677523494789092,12.16936201255016,18
12.118029993289978,11.728855514049274,18
12.558536491790862,12.7344370244531,16
12.999042990291748,12.293930525952216,16
13.439549488792633,11.853424027451329,16
13.880055987293519,12.17448604320683,15
