,Aceite_Prima_1L,Aceite_Cocinero,Harina_Nicolini,Harina_Blanca_F,Jabon_Bolivar,Shampoo_Plusbelle,Alacena_Mayo,Ketchup_AlaCena
2018-01-08,409.0,377.0,350.0,296.0,310.0,278.0,261.0,219.0
2018-01-15,430.0,389.0,343.0,282.0,315.0,294.0,265.0,233.0
2018-01-22,419.0,367.0,344.0,283.0,294.0,248.0,251.0,206.0
2018-01-29,435.0,398.0,356.0,286.0,320.0,297.0,253.0,215.0
2018-02-05,410.0,386.0,345.0,294.0,320.0,281.0,261.0,224.0
2018-02-12,422.0,371.0,353.0,280.0,317.0,270.0,274.0,218.0
2018-02-19,426.0,377.0,367.0,284.0,308.0,265.0,254.0,215.0
2018-02-26,408.0,364.0,344.0,279.0,304.0,291.0,254.0,215.0
2018-03-05,407.0,372.0,352.0,291.0,298.0,268.0,258.0,216.0
2018-03-12,417.0,377.0,333.0,297.0,312.0,267.0,259.0,226.0
2018-03-19,422.0,386.0,345.0,292.0,324.0,295.0,272.0,228.0
2018-03-26,528.0,469.0,441.0,361.0,393.0,347.0,312.0,278.0
2018-04-02,540.0,465.0,470.0,354.0,387.0,344.0,333.0,268.0
2018-04-09,553.0,486.0,457.0,369.0,394.0,359.0,335.0,271.0
2018-04-16,414.0,384.0,349.0,291.0,301.0,274.0,261.0,206.0
2018-04-23,425.0,389.0,356.0,317.0,312.0,292.0,265.0,217.0
2018-04-30,423.0,366.0,332.0,278.0,317.0,289.0,266.0,225.0
2018-05-07,430.0,404.0,365.0,308.0,318.0,294.0,272.0,228.0
2018-05-14,444.0,375.0,364.0,301.0,314.0,282.0,253.0,219.0
2018-05-21,401.0,378.0,336.0,286.0,305.0,292.0,263.0,219.0
2018-05-28,428.0,389.0,348.0,308.0,313.0,281.0,261.0,218.0
2018-06-04,429.0,372.0,352.0,292.0,303.0,272.0,262.0,222.0
2018-06-11,430.0,418.0,361.0,304.0,319.0,290.0,267.0,228.0
2018-06-18,410.0,376.0,355.0,294.0,293.0,300.0,262.0,214.0
2018-06-25,397.0,385.0,372.0,299.0,301.0,266.0,263.0,219.0
2018-07-02,448.0,401.0,355.0,305.0,308.0,285.0,265.0,229.0
2018-07-09,405.0,367.0,341.0,282.0,309.0,275.0,248.0,214.0
2018-07-16,449.0,395.0,343.0,279.0,314.0,278.0,257.0,223.0
2018-07-23,414.0,378.0,359.0,289.0,310.0,269.0,259.0,233.0
2018-07-30,439.0,396.0,358.0,290.0,325.0,292.0,271.0,221.0
2018-08-06,422.0,371.0,333.0,283.0,298.0,295.0,261.0,221.0
2018-08-13,448.0,383.0,369.0,303.0,324.0,282.0,256.0,217.0
2018-08-20,447.0,391.0,370.0,288.0,316.0,272.0,275.0,221.0
2018-08-27,437.0,391.0,344.0,290.0,316.0,274.0,267.0,226.0
2018-09-03,450.0,377.0,339.0,298.0,323.0,285.0,271.0,223.0
2018-09-10,422.0,389.0,359.0,296.0,299.0,287.0,257.0,214.0
2018-09-17,453.0,383.0,357.0,281.0,311.0,289.0,268.0,225.0
2018-09-24,431.0,404.0,370.0,292.0,313.0,286.0,270.0,231.0
2018-10-01,401.0,384.0,321.0,288.0,298.0,269.0,262.0,219.0
2018-10-08,422.0,370.0,361.0,301.0,305.0,274.0,268.0,227.0
2018-10-15,424.0,380.0,339.0,288.0,321.0,289.0,267.0,220.0
2018-10-22,417.0,370.0,360.0,274.0,306.0,285.0,257.0,223.0
2018-10-29,428.0,378.0,350.0,296.0,316.0,271.0,259.0,223.0
2018-11-05,436.0,382.0,343.0,287.0,305.0,291.0,261.0,215.0
2018-11-12,428.0,393.0,349.0,282.0,299.0,286.0,267.0,223.0
2018-11-19,442.0,397.0,362.0,287.0,314.0,292.0,260.0,215.0
2018-11-26,399.0,388.0,346.0,285.0,292.0,266.0,264.0,215.0
2018-12-03,411.0,369.0,353.0,282.0,302.0,263.0,265.0,218.0
2018-12-10,560.0,514.0,508.0,368.0,399.0,371.0,339.0,296.0
2018-12-17,542.0,493.0,448.0,403.0,442.0,387.0,348.0,292.0
2018-12-24,568.0,504.0,500.0,408.0,422.0,392.0,347.0,302.0
2018-12-31,419.0,390.0,352.0,297.0,304.0,280.0,258.0,220.0
2019-01-07,428.0,389.0,334.0,277.0,308.0,269.0,251.0,212.0
2019-01-14,416.0,359.0,328.0,284.0,295.0,265.0,264.0,209.0
2019-01-21,395.0,363.0,340.0,285.0,302.0,281.0,256.0,215.0
2019-01-28,453.0,390.0,368.0,300.0,319.0,279.0,265.0,221.0
2019-02-04,432.0,381.0,347.0,295.0,313.0,294.0,252.0,221.0
2019-02-11,422.0,368.0,365.0,282.0,313.0,273.0,249.0,216.0
2019-02-18,418.0,384.0,332.0,290.0,320.0,297.0,266.0,213.0
2019-02-25,419.0,383.0,356.0,298.0,318.0,290.0,251.0,221.0
2019-03-04,410.0,375.0,331.0,300.0,294.0,276.0,264.0,217.0
2019-03-11,424.0,379.0,351.0,294.0,290.0,265.0,251.0,217.0
2019-03-18,466.0,400.0,375.0,307.0,324.0,289.0,289.0,223.0
2019-03-25,535.0,460.0,424.0,359.0,380.0,348.0,338.0,282.0
2019-04-01,506.0,464.0,391.0,373.0,369.0,344.0,319.0,259.0
2019-04-08,516.0,479.0,444.0,369.0,414.0,348.0,328.0,286.0
2019-04-15,423.0,377.0,355.0,282.0,328.0,285.0,271.0,223.0
2019-04-22,404.0,380.0,357.0,304.0,317.0,283.0,273.0,226.0
2019-04-29,428.0,400.0,368.0,298.0,312.0,264.0,252.0,221.0
2019-05-06,415.0,383.0,335.0,285.0,306.0,282.0,249.0,226.0
2019-05-13,408.0,372.0,353.0,282.0,306.0,275.0,258.0,219.0
2019-05-20,407.0,391.0,367.0,294.0,316.0,275.0,267.0,217.0
2019-05-27,415.0,368.0,321.0,289.0,310.0,265.0,262.0,227.0
2019-06-03,433.0,407.0,366.0,300.0,304.0,267.0,268.0,221.0
2019-06-10,399.0,377.0,339.0,289.0,310.0,267.0,251.0,220.0
2019-06-17,393.0,383.0,352.0,307.0,309.0,274.0,246.0,226.0
2019-06-24,417.0,383.0,353.0,299.0,294.0,294.0,264.0,214.0
2019-07-01,434.0,360.0,341.0,290.0,297.0,270.0,251.0,220.0
2019-07-08,449.0,377.0,349.0,303.0,307.0,281.0,248.0,217.0
2019-07-15,417.0,370.0,352.0,282.0,318.0,279.0,258.0,217.0
2019-07-22,409.0,378.0,334.0,292.0,309.0,277.0,262.0,218.0
2019-07-29,420.0,393.0,333.0,304.0,299.0,279.0,259.0,212.0
2019-08-05,415.0,407.0,361.0,290.0,320.0,276.0,261.0,219.0
2019-08-12,434.0,395.0,343.0,287.0,303.0,295.0,262.0,229.0
2019-08-19,427.0,384.0,358.0,284.0,309.0,287.0,253.0,221.0
2019-08-26,425.0,355.0,351.0,277.0,302.0,262.0,249.0,218.0
2019-09-02,423.0,378.0,332.0,285.0,312.0,274.0,258.0,223.0
2019-09-09,417.0,371.0,342.0,287.0,315.0,274.0,261.0,217.0
2019-09-16,412.0,375.0,366.0,279.0,300.0,272.0,262.0,227.0
2019-09-23,421.0,386.0,344.0,294.0,303.0,286.0,264.0,221.0
2019-09-30,407.0,367.0,338.0,294.0,301.0,270.0,251.0,219.0
2019-10-07,429.0,364.0,359.0,284.0,319.0,298.0,260.0,226.0
2019-10-14,435.0,391.0,363.0,306.0,295.0,286.0,245.0,214.0
2019-10-21,413.0,371.0,349.0,296.0,284.0,277.0,258.0,226.0
2019-10-28,446.0,390.0,349.0,303.0,309.0,290.0,270.0,213.0
2019-11-04,408.0,394.0,362.0,281.0,306.0,283.0,246.0,225.0
2019-11-11,418.0,370.0,370.0,297.0,319.0,276.0,257.0,218.0
2019-11-18,407.0,351.0,359.0,278.0,305.0,272.0,261.0,218.0
2019-11-25,394.0,378.0,351.0,298.0,309.0,282.0,269.0,211.0
2019-12-02,436.0,396.0,344.0,294.0,319.0,287.0,257.0,218.0
2019-12-09,574.0,536.0,456.0,396.0,403.0,382.0,348.0,292.0
2019-12-16,558.0,493.0,478.0,375.0,414.0,360.0,335.0,293.0
2019-12-23,566.0,518.0,478.0,380.0,417.0,367.0,350.0,295.0
2019-12-30,426.0,376.0,367.0,295.0,313.0,279.0,273.0,225.0
2020-01-06,395.0,373.0,353.0,278.0,309.0,282.0,263.0,222.0
2020-01-13,400.0,395.0,322.0,288.0,308.0,295.0,259.0,221.0
2020-01-20,417.0,355.0,355.0,273.0,287.0,265.0,259.0,213.0
2020-01-27,390.0,370.0,329.0,291.0,296.0,277.0,255.0,212.0
2020-02-03,417.0,379.0,341.0,276.0,309.0,288.0,253.0,228.0
2020-02-10,400.0,387.0,351.0,294.0,295.0,292.0,260.0,213.0
2020-02-17,426.0,381.0,373.0,295.0,315.0,281.0,265.0,231.0
2020-02-24,401.0,369.0,377.0,277.0,299.0,273.0,253.0,213.0
2020-03-02,374.0,353.0,339.0,283.0,296.0,276.0,248.0,216.0
2020-03-09,425.0,377.0,343.0,289.0,306.0,277.0,265.0,224.0
2020-03-16,417.0,380.0,359.0,287.0,307.0,282.0,268.0,229.0
2020-03-23,504.0,475.0,445.0,347.0,384.0,353.0,320.0,273.0
