,PC1
2018-01-08,-1.0156938385785097
2018-01-15,-0.43254222258066066
2018-01-22,-2.1368729355180216
2018-01-29,-0.5092038732843387
2018-02-05,-0.764628057429106
2018-02-12,-0.9809038112181772
2018-02-19,-1.2063465860864684
2018-02-26,-1.4665413017722226
2018-03-05,-1.4668067749004376
2018-03-12,-1.1253864211492446
2018-03-19,-0.2572478245538295
2018-03-26,5.8392280516868595
2018-04-02,6.110016072043717
2018-04-09,6.7970523677217916
2018-04-16,-1.3456392464942877
2018-04-23,-0.2602819989238572
2018-04-30,-1.0004524158336752
2018-05-07,0.262540291282423
2018-05-14,-0.5802650139466999
2018-05-21,-1.1763299681031025
2018-05-28,-0.5798562382288436
2018-06-04,-1.0201170713543801
2018-06-11,0.19676153870037366
2018-06-18,-0.9844384958694753
2018-06-25,-1.0206946058328275
2018-07-02,-0.05506429719168066
2018-07-09,-1.6955421516699145
2018-07-16,-0.7448187838590693
2018-07-23,-0.8739505469168205
2018-07-30,-0.08738117174375507
2018-08-06,-1.1729298361001737
2018-08-13,-0.28347400474813395
2018-08-20,-0.2728776873469383
2018-08-27,-0.5771433221783503
2018-09-03,-0.3307433462781014
2018-09-10,-0.8717909575063264
2018-09-17,-0.37998787860516325
2018-09-24,-0.004332466128495413
2018-10-01,-1.6164988776103424
2018-10-08,-0.6917481822902507
2018-10-15,-0.7062733295651754
2018-10-22,-1.1282990872226772
2018-10-29,-0.8351830286840068
2018-11-05,-0.8894499564719313
2018-11-12,-0.7732308162226612
2018-11-19,-0.4276770634490423
2018-11-26,-1.5403642392589731
2018-12-03,-1.444569815326282
2018-12-10,8.239527297025152
2018-12-17,8.50172810071263
2018-12-24,9.337258585817908
2018-12-31,-0.8578384588715225
2019-01-07,-1.515844997482695
2019-01-14,-1.9217535839481892
2019-01-21,-1.6645047838659002
2019-01-28,-0.12971131352697537
2019-02-04,-0.6968530248338582
2019-02-11,-1.2583547351945987
2019-02-18,-0.8017004758880208
2019-02-25,-0.6688649404788061
2019-03-04,-1.3554410065625668
2019-03-11,-1.4512207568252395
2019-03-18,0.7555558379045108
2019-03-25,5.919743911700226
2019-04-01,4.765882656588968
2019-04-08,6.5589140813864
2019-04-15,-0.5264760808022865
2019-04-22,-0.4475378744644375
2019-04-29,-0.706686471516641
2019-05-06,-1.2314985345528724
2019-05-13,-1.3285782270508952
2019-05-20,-0.6883818726495834
2019-05-27,-1.418135878075811
2019-06-03,-0.43280589637546596
2019-06-10,-1.537810813641958
2019-06-17,-1.0948370376501293
2019-06-24,-0.8607943498141595
2019-07-01,-1.492202423495679
2019-07-08,-0.8336766394583303
2019-07-15,-1.1307543068647967
2019-07-22,-1.230049404968
2019-07-29,-1.105499963318134
2019-08-05,-0.5765812547282236
2019-08-12,-0.5196392771010306
2019-08-19,-0.8536106338172995
2019-08-26,-1.7691819255467114
2019-09-02,-1.1955134579443953
2019-09-09,-1.211284741867594
2019-09-16,-1.1023136587710647
2019-09-23,-0.8264066498235765
2019-09-30,-1.5965562048875006
2019-10-07,-0.5797521570368691
2019-10-14,-0.81901999428578
2019-10-21,-1.2828624159541682
2019-10-28,-0.36911149903073615
2019-11-04,-1.02771123235382
2019-11-11,-0.8008570051946149
2019-11-18,-1.538738543590769
2019-11-25,-1.0759928913900865
2019-12-02,-0.5680693094807439
2019-12-09,8.628803564405038
2019-12-16,7.767397864038467
2019-12-23,8.47417070765905
2019-12-30,-0.43104541684082803
2020-01-06,-1.2316836898390824
2020-01-13,-1.0911415432000489
2020-01-20,-1.920251715233318
2020-01-27,-1.8549489436329916
