,demanda,precio_aceite
2016-01-04,505.0,5.049952145926957
2016-01-11,427.0,5.042439585771013
2016-01-18,495.0,5.106674468682377
2016-01-25,425.0,5.253859455304649
2016-02-01,560.0,5.236996673594857
2016-02-08,565.0,5.220189557321124
2016-02-15,397.0,5.376080330709017
2016-02-22,506.0,5.456313457082395
2016-02-29,478.0,5.415812047184606
2016-03-07,539.0,5.47443411593057
2016-03-14,331.0,5.434390626615284
2016-03-21,484.0,5.394415536254462
2016-03-28,633.0,5.423381855193599
2016-04-04,376.0,5.245027762598416
2016-04-11,415.0,5.0897667990603725
2016-04-18,204.0,5.043553224159867
2016-04-25,387.0,4.957392408048946
2016-05-02,502.0,4.9905011236309385
2016-05-09,586.0,4.914509229019624
2016-05-16,429.0,4.795943374680601
2016-05-23,597.0,4.929078768180619
2016-05-30,256.0,4.913999315223754
2016-06-06,209.0,4.924898387498721
2016-06-13,412.0,4.805005442420721
2016-06-20,468.0,4.762912191185635
2016-06-27,416.0,4.77720617138491
2016-07-04,282.0,4.68393237534901
2016-07-11,493.0,4.720433188398931
2016-07-18,268.0,4.674345141155574
2016-07-25,501.0,4.654519060682595
2016-08-01,462.0,4.608985969838382
2016-08-08,319.0,4.770012268815064
2016-08-15,365.0,4.773624773637942
2016-08-22,313.0,4.688286342100835
2016-08-29,414.0,4.762977217712023
2016-09-05,511.0,4.664113354670391
2016-09-12,326.0,4.686365323328078
2016-09-19,468.0,4.528465930297348
2016-09-26,372.0,4.425909909238472
2016-10-03,350.0,4.446064793057943
2016-10-10,411.0,4.510065998463199
2016-10-17,334.0,4.528525619797004
2016-10-24,373.0,4.523629901893233
2016-10-31,321.0,4.503680181565561
2016-11-07,589.0,4.389790416557279
2016-11-14,424.0,4.337613400302597
2016-11-21,354.0,4.306100728308935
2016-11-28,440.0,4.393213620504291
2016-12-05,410.0,4.424893102319152
2016-12-12,549.0,4.29096392011144
2016-12-19,616.0,4.3203866870989005
2016-12-26,627.0,4.294836246234985
2017-01-02,378.0,4.247067870866326
2017-01-09,376.0,4.29838342912542
2017-01-16,399.0,4.383278659253393
2017-01-23,249.0,4.46183465400454
2017-01-30,279.0,4.399338212798122
2017-02-06,558.0,4.379297400447862
2017-02-13,594.0,4.409895717835158
